date,temperature
24-02-03-21-45-49,18
24-02-03-21-46-20,20
24-02-03-21-48-23,19
24-02-03-21-50-35,19
24-02-03-21-50-48,18
24-02-03-21-52-26,19
24-02-03-21-52-43,19
24-02-03-21-53-20,19
24-02-03-21-53-44,18
24-02-03-21-53-47,18
24-02-03-21-53-49,18
24-02-03-21-53-51,18
24-02-03-21-53-54,19
24-02-03-21-53-57,19
24-02-03-21-54-00,18
24-02-03-21-54-03,20
24-02-03-21-54-07,19
24-02-03-21-54-07,18
24-02-03-21-54-18,20
24-02-03-21-54-20,18
24-02-03-21-54-20,18
24-02-03-21-54-22,18
24-02-03-21-54-25,20
24-02-03-21-59-40,19
24-02-03-21-59-40,18
24-02-03-21-59-40,19
24-02-03-21-59-40,19
24-02-03-21-59-41,19
24-02-03-21-59-41,20
24-02-03-21-59-42,18
24-02-03-21-59-42,18
24-02-03-21-59-42,20
24-02-03-21-59-43,19
24-02-03-21-59-43,18
24-02-03-21-59-43,18
24-02-03-21-59-43,18
24-02-03-21-59-43,19
24-02-03-21-59-43,19
24-02-03-21-59-44,19
24-02-03-21-59-44,18
24-02-03-21-59-44,18
24-02-03-21-59-44,19
24-02-03-21-59-44,18
24-02-03-21-59-44,20
24-02-03-21-59-44,18
24-02-03-21-59-44,18
24-02-03-21-59-45,18
24-02-03-21-59-45,18
24-02-03-21-59-45,18
24-02-03-21-59-45,19
24-02-03-21-59-45,18
24-02-03-21-59-45,19
24-02-03-21-59-46,18
24-02-03-21-59-46,19
24-02-03-21-59-46,20
24-02-03-21-59-46,18
24-02-03-21-59-46,19
24-02-03-21-59-46,18
24-02-03-21-59-47,19
24-02-03-21-59-47,18
24-02-03-21-59-47,20
24-02-03-21-59-47,18
24-02-03-21-59-47,19
24-02-03-21-59-47,18
24-02-03-21-59-48,20
24-02-03-21-59-48,20
24-02-03-21-59-48,18
24-02-03-21-59-48,18
24-02-03-21-59-48,20
24-02-03-21-59-49,18
24-02-03-21-59-49,19
24-02-03-21-59-49,18
24-02-03-21-59-49,18
24-02-03-21-59-49,19
24-02-03-21-59-49,19
24-02-03-21-59-50,20
24-02-03-21-59-50,20
24-02-03-21-59-52,18
24-02-03-21-59-52,19
24-02-03-21-59-52,18
24-02-03-21-59-52,18
24-02-03-21-59-52,19
24-02-03-21-59-52,18
24-02-03-21-59-53,19
24-02-03-21-59-53,18
24-02-03-21-59-53,18
24-02-03-21-59-53,18
24-02-03-21-59-53,18
24-02-03-21-59-53,18
24-02-03-21-59-54,19
24-02-03-21-59-54,18
24-02-03-21-59-54,19
24-02-03-21-59-54,18
24-02-03-21-59-54,19
24-02-03-21-59-54,20
24-02-03-21-59-54,18
24-02-03-21-59-55,18
24-02-03-21-59-55,18
24-02-03-21-59-55,19
24-02-03-21-59-55,18
24-02-03-21-59-55,18
24-02-03-21-59-57,18
24-02-03-21-59-59,18
24-02-03-21-59-59,18
24-02-03-22-00-03,18
24-02-03-22-00-03,18
24-02-03-22-00-08,18
24-02-03-22-00-08,19
24-02-03-22-00-09,18
24-02-03-22-00-09,18
24-02-03-22-00-10,19
24-02-03-22-00-10,19
24-02-03-22-00-10,18
24-02-03-22-00-10,19
24-02-03-22-00-10,18
24-02-03-22-00-11,20
24-02-03-22-00-12,18
24-02-03-22-00-12,20
24-02-03-22-00-13,18
24-02-03-22-00-13,20
24-02-03-22-00-14,18
24-02-03-22-00-14,18
24-02-03-22-00-15,19
24-02-03-22-00-15,18
24-02-03-22-00-16,19
24-02-03-22-00-16,19
24-02-03-22-00-16,18
24-02-03-22-00-16,20
24-02-03-22-00-16,19
24-02-03-22-00-16,19
24-02-03-22-00-17,18
24-02-03-22-00-17,19
24-02-03-22-00-17,18
24-02-03-22-00-17,19
24-02-03-22-00-17,19
24-02-03-22-00-17,18
24-02-03-22-00-28,18
24-02-03-22-00-29,18
24-02-03-22-00-29,20
24-02-03-22-00-29,18
24-02-03-22-00-29,18
24-02-03-22-00-29,19
24-02-03-22-00-29,18
24-02-03-22-00-29,18
24-02-03-22-00-30,18
24-02-03-22-00-31,19
24-02-03-22-00-31,18
24-02-03-22-00-31,18
24-02-03-22-00-31,18
24-02-03-22-00-31,18
24-02-03-22-00-32,19
24-02-03-22-00-32,19
24-02-03-22-00-32,20
24-02-03-22-00-32,20
24-02-03-22-00-32,18
24-02-03-22-00-33,19
24-02-03-22-00-33,18
24-02-03-22-00-33,18
24-02-03-22-00-33,19
24-02-03-22-00-33,18
24-02-03-22-00-33,20
24-02-03-22-00-34,18
24-02-03-22-00-34,18
24-02-03-22-00-34,20
24-02-03-22-00-34,19
24-02-03-22-00-34,19
24-02-03-22-00-34,18
24-02-03-22-00-34,18
24-02-03-22-00-35,19
24-02-03-22-00-35,18
24-02-03-22-00-36,18
24-02-03-22-00-36,20
24-02-03-22-00-36,18
24-02-03-22-00-36,18
24-02-03-22-00-36,18
24-02-03-22-00-36,18
24-02-03-22-00-36,18
24-02-03-22-00-37,20
24-02-03-22-00-37,18
24-02-03-22-00-37,18
24-02-03-22-00-37,18
24-02-03-22-00-37,19
24-02-03-22-00-37,18
24-02-03-22-00-37,18
24-02-03-22-00-38,18
24-02-03-22-00-38,18
24-02-03-22-00-38,20
24-02-03-22-00-38,19
24-02-03-22-00-38,19
24-02-03-22-00-38,19
24-02-03-22-00-39,18
24-02-03-22-00-39,18
24-02-03-22-00-39,18
24-02-03-22-00-39,18
24-02-03-22-00-39,18
24-02-03-22-00-39,18
24-02-03-22-00-39,19
24-02-03-22-00-40,19
24-02-03-22-00-40,18
24-02-03-22-00-40,18
24-02-03-22-00-40,18
24-02-03-22-00-40,19
24-02-03-22-00-41,18
24-02-03-22-00-41,19
24-02-03-22-00-41,18
24-02-03-22-00-41,18
24-02-03-22-00-41,20
24-02-03-22-00-41,18
24-02-03-22-00-42,18
24-02-03-22-00-42,20
24-02-03-22-00-42,18
24-02-03-22-00-42,19
24-02-03-22-00-42,19
24-02-03-22-00-42,18
24-02-03-22-00-43,18
24-02-03-22-00-43,18
24-02-03-22-00-43,18
24-02-03-22-00-43,18
24-02-03-22-00-43,18
24-02-03-22-00-44,20
24-02-03-22-00-44,18
24-02-03-22-00-44,20
24-02-03-22-00-44,18
24-02-03-22-00-44,19
24-02-03-22-00-45,18
24-02-03-22-00-45,18
24-02-03-22-00-45,20
24-02-03-22-00-45,19
24-02-03-22-00-45,18
24-02-03-22-00-45,20
24-02-03-22-00-45,18
24-02-03-22-00-45,18
24-02-03-22-00-46,19
24-02-03-22-00-46,18
24-02-03-22-00-46,18
24-02-03-22-00-46,18
24-02-03-22-00-46,18
24-02-03-22-00-46,18
24-02-03-22-00-47,19
24-02-03-22-00-47,18
24-02-03-22-00-47,18
24-02-03-22-00-47,18
24-02-03-22-00-48,18
24-02-03-22-00-48,18
24-02-03-22-00-48,20
24-02-03-22-00-48,20
24-02-03-22-00-48,18
24-02-03-22-00-49,18
24-02-03-22-00-49,18
24-02-03-22-00-49,18
24-02-03-22-00-49,18
24-02-03-22-00-49,19
24-02-03-22-00-49,18
24-02-03-22-00-50,18
24-02-03-22-00-50,18
24-02-03-22-00-50,18
24-02-03-22-00-50,18
24-02-03-22-00-50,18
24-02-03-22-00-54,18
24-02-03-22-00-54,20
24-02-03-22-00-54,19
24-02-03-22-00-55,18
24-02-03-22-00-55,18
24-02-03-22-00-55,19
24-02-03-22-00-55,19
24-02-03-22-01-00,18
24-02-03-22-01-00,18
24-02-03-22-01-00,18
24-02-03-22-01-08,19
24-02-03-22-01-08,19
24-02-03-22-01-15,19
24-02-03-22-01-17,18
24-02-03-22-01-17,18
24-02-03-22-01-23,19
24-02-03-22-01-23,18
24-02-03-22-01-23,18
24-02-03-22-01-24,19
24-02-03-22-01-24,19
24-02-03-22-01-27,19
24-02-03-22-01-32,19
24-02-03-22-01-32,18
24-02-03-22-01-45,18
24-02-03-22-01-50,18
24-02-03-22-01-56,20
24-02-03-22-01-56,18
24-02-03-22-01-56,18
24-02-03-22-01-56,19
24-02-03-22-01-57,19
24-02-03-22-01-57,18
24-02-03-22-01-58,18
24-02-03-22-01-59,19
24-02-03-22-01-59,18
24-02-03-22-01-59,18
24-02-03-22-02-00,18
24-02-03-22-02-00,18
24-02-03-22-02-00,18
24-02-03-22-02-00,18
24-02-03-22-02-01,18
24-02-03-22-02-01,18
24-02-03-22-02-01,18
24-02-03-22-02-01,18
24-02-03-22-02-01,20
24-02-03-22-02-02,18
24-02-03-22-02-03,18
24-02-03-22-02-03,18
24-02-03-22-02-04,18
24-02-03-22-02-04,19
24-02-03-22-02-04,19
24-02-03-22-02-05,18
24-02-03-22-02-05,18
24-02-03-22-02-05,18
24-02-03-22-02-06,19
24-02-03-22-02-06,20
24-02-03-22-02-06,19
24-02-03-22-02-07,19
24-02-03-22-02-07,18
24-02-03-22-02-07,19
24-02-03-22-02-07,18
24-02-03-22-02-08,18
24-02-03-22-02-08,18
24-02-03-22-02-08,18
24-02-03-22-02-09,20
24-02-03-22-02-09,18
24-02-03-22-02-09,19
24-02-03-22-02-09,18
24-02-03-22-02-09,19
24-02-03-22-02-09,18
24-02-03-22-02-10,20
24-02-03-22-02-10,18
24-02-03-22-02-10,18
24-02-03-22-02-10,18
24-02-03-22-02-10,18
24-02-03-22-02-10,18
24-02-03-22-02-11,18
24-02-03-22-02-11,18
24-02-03-22-02-11,18
24-02-03-22-02-11,18
24-02-03-22-02-11,18
24-02-03-22-02-11,18
24-02-03-22-02-12,18
24-02-03-22-02-12,20
24-02-03-22-02-12,18
24-02-03-22-02-12,18
24-02-03-22-02-12,19
24-02-03-22-02-12,18
24-02-03-22-02-13,18
24-02-03-22-02-13,18
24-02-03-22-02-13,18
24-02-03-22-02-13,18
24-02-03-22-02-13,18
24-02-03-22-02-13,18
24-02-03-22-02-13,18
24-02-03-22-02-14,20
24-02-03-22-02-14,18
24-02-03-22-02-14,18
24-02-03-22-02-14,19
24-02-03-22-02-14,18
24-02-03-22-02-15,19
24-02-03-22-02-15,20
24-02-03-22-02-15,19
24-02-03-22-02-15,18
24-02-03-22-02-15,18
24-02-03-22-02-15,18
24-02-03-22-02-16,18
24-02-03-22-02-16,18
24-02-03-22-02-17,19
24-02-03-22-02-17,18
24-02-03-22-02-17,18
24-02-03-22-02-17,18
24-02-03-22-02-17,18
24-02-03-22-02-18,18
24-02-03-22-02-18,18
24-02-03-22-02-18,18
24-02-03-22-02-18,18
24-02-03-22-02-18,18
24-02-03-22-02-18,18
24-02-03-22-02-19,18
24-02-03-22-02-19,18
24-02-03-22-02-19,19
24-02-03-22-02-19,19
24-02-03-22-02-19,19
24-02-03-22-02-19,20
24-02-03-22-02-20,19
24-02-03-22-02-20,18
24-02-03-22-02-24,18
24-02-03-22-02-44,19
24-02-03-22-02-45,18
24-02-03-22-02-45,18
24-02-03-22-02-46,19
24-02-03-22-02-46,19
24-02-03-22-02-47,20
24-02-03-22-02-47,18
24-02-03-22-02-48,18
24-02-03-22-02-48,19
24-02-03-22-02-49,18
24-02-03-22-02-49,20
24-02-03-22-02-50,19
24-02-03-22-02-50,18
24-02-03-22-02-51,18
24-02-03-22-02-51,18
24-02-03-22-02-51,20
24-02-03-22-02-51,18
24-02-03-22-02-52,19
24-02-03-22-02-52,18
24-02-03-22-02-52,20
24-02-03-22-02-52,19
24-02-03-22-02-53,18
24-02-03-22-02-53,19
24-02-03-22-02-54,20
24-02-03-22-02-54,18
24-02-03-22-02-55,20
24-02-03-22-02-55,18
24-02-03-22-02-57,20
24-02-03-22-02-57,20
24-02-03-22-02-58,19
24-02-03-22-02-58,19
24-02-03-22-03-01,18
24-02-03-22-03-01,20
24-02-03-22-03-01,18
24-02-03-22-03-01,18
24-02-03-22-03-01,19
24-02-03-22-03-01,19
24-02-03-22-03-01,19
24-02-03-22-03-02,18
24-02-03-22-03-02,20
24-02-03-22-03-02,18
24-02-03-22-03-02,18
24-02-03-22-03-03,19
24-02-03-22-03-03,18
24-02-03-22-03-03,20
24-02-03-22-03-03,20
24-02-03-22-03-03,18
24-02-03-22-03-04,18
24-02-03-22-03-04,18
24-02-03-22-03-04,18
24-02-03-22-03-04,19
24-02-03-22-03-04,18
24-02-03-22-03-04,18
24-02-03-22-03-05,20
24-02-03-22-03-05,20
24-02-03-22-03-05,18
24-02-03-22-03-05,19
24-02-03-22-03-05,19
24-02-03-22-03-05,20
24-02-03-22-03-06,18
24-02-03-22-03-06,19
24-02-03-22-03-06,18
24-02-03-22-03-06,19
24-02-03-22-03-06,20
24-02-03-22-03-06,19
24-02-03-22-03-07,18
24-02-03-22-03-07,18
24-02-03-22-03-07,18
24-02-03-22-03-07,20
24-02-03-22-03-07,18
24-02-03-22-03-07,19
24-02-03-22-03-07,20
24-02-03-22-03-07,18
24-02-03-22-03-08,19
24-02-03-22-03-08,19
24-02-03-22-03-08,20
24-02-03-22-03-08,19
24-02-03-22-03-08,18
24-02-03-22-03-08,20
24-02-03-22-03-09,19
24-02-03-22-03-09,20
24-02-03-22-03-09,18
24-02-03-22-03-09,19
24-02-03-22-03-09,18
24-02-03-22-03-09,18
24-02-03-22-03-10,18
24-02-03-22-03-10,19
24-02-03-22-03-10,19
24-02-03-22-03-10,19
24-02-03-22-03-10,20
24-02-03-22-03-10,19
24-02-03-22-03-11,20
24-02-03-22-03-11,19
24-02-03-22-03-11,19
24-02-03-22-03-11,18
24-02-03-22-03-11,18
24-02-03-22-03-12,18
24-02-03-22-03-12,18
24-02-03-22-03-12,19
24-02-03-22-03-12,18
24-02-03-22-03-12,20
24-02-03-22-03-12,18
24-02-03-22-03-12,18
24-02-03-22-03-12,19
24-02-03-22-03-13,18
24-02-03-22-03-13,18
24-02-03-22-03-13,18
24-02-03-22-03-13,18
24-02-03-22-03-13,18
24-02-03-22-03-13,20
24-02-03-22-03-14,18
24-02-03-22-03-14,19
24-02-03-22-03-14,19
24-02-03-22-03-14,18
24-02-03-22-03-14,18
24-02-03-22-03-14,18
24-02-03-22-03-15,18
24-02-03-22-03-15,19
24-02-03-22-03-15,18
24-02-03-22-03-15,18
24-02-03-22-03-17,19
24-02-03-22-03-17,18
24-02-03-22-03-17,18
24-02-03-22-03-17,18
24-02-03-22-03-17,20
24-02-03-22-03-17,18
24-02-03-22-03-18,19
24-02-03-22-03-18,18
24-02-03-22-03-18,19
24-02-03-22-03-18,20
24-02-03-22-03-19,18
24-02-03-22-03-19,18
24-02-03-22-03-19,20
24-02-03-22-03-19,18
24-02-03-22-03-19,19
24-02-03-22-03-19,19
24-02-03-22-03-20,18
24-02-03-22-03-20,18
24-02-03-22-03-21,18
24-02-03-22-03-21,18
24-02-03-22-03-21,18
24-02-03-22-03-21,18
24-02-03-22-03-21,19
24-02-03-22-03-21,19
24-02-03-22-03-21,19
24-02-03-22-03-22,18
24-02-03-22-03-22,19
24-02-03-22-03-23,18
24-02-03-22-03-23,18
24-02-03-22-03-23,19
24-02-03-22-03-23,18
24-02-03-22-03-23,18
24-02-03-22-03-23,20
24-02-03-22-03-24,19
24-02-03-22-03-24,18
24-02-03-22-03-24,18
24-02-03-22-03-24,18
24-02-03-22-03-24,18
24-02-03-22-03-24,19
24-02-03-22-03-25,18
24-02-03-22-03-25,18
24-02-03-22-03-25,18
24-02-03-22-03-25,18
24-02-03-22-03-25,18
24-02-03-22-03-25,19
24-02-03-22-03-26,18
24-02-03-22-03-26,20
24-02-03-22-03-26,19
24-02-03-22-03-26,18
24-02-03-22-03-26,18
24-02-03-22-03-26,20
24-02-03-22-03-26,19
24-02-03-22-03-26,18
24-02-03-22-03-27,18
24-02-03-22-03-27,20
24-02-03-22-03-27,18
24-02-03-22-03-27,18
24-02-03-22-03-27,18
24-02-03-22-03-27,18
24-02-03-22-03-28,19
24-02-03-22-03-28,18
24-02-03-22-03-28,18
24-02-03-22-03-28,18
24-02-03-22-03-28,18
24-02-03-22-03-28,19
24-02-03-22-03-29,18
24-02-03-22-03-29,19
24-02-03-22-03-29,18
24-02-03-22-03-29,18
24-02-03-22-03-29,18
24-02-03-22-03-29,19
24-02-03-22-03-30,18
24-02-03-22-03-31,18
24-02-03-22-03-32,18
24-02-03-22-03-32,19
24-02-03-22-03-32,19
24-02-03-22-03-32,18
24-02-03-22-03-33,18
24-02-03-22-03-33,18
24-02-03-22-03-33,18
24-02-03-22-03-33,18
24-02-03-22-03-33,20
24-02-03-22-03-33,19
24-02-03-22-03-34,18
24-02-03-22-03-34,18
24-02-03-22-03-34,18
24-02-03-22-03-34,18
24-02-03-22-03-34,19
24-02-03-22-03-35,20
24-02-03-22-03-35,19
24-02-03-22-03-35,18
24-02-03-22-03-35,20
24-02-03-22-03-35,18
24-02-03-22-03-35,19
24-02-03-22-03-35,20
24-02-03-22-03-36,18
24-02-03-22-03-36,18
24-02-03-22-03-36,18
24-02-03-22-03-36,18
24-02-03-22-03-36,18
24-02-03-22-03-36,19
24-02-03-22-03-36,20
24-02-03-22-03-37,20
24-02-03-22-03-37,18
24-02-03-22-03-37,18
24-02-03-22-03-37,20
24-02-03-22-03-37,20
24-02-03-22-03-37,18
24-02-03-22-03-38,18
24-02-03-22-03-38,19
24-02-03-22-03-38,18
24-02-03-22-03-38,20
24-02-03-22-03-38,19
24-02-03-22-03-38,18
24-02-03-22-03-39,18
24-02-03-22-03-39,18
24-02-03-22-03-39,18
24-02-03-22-03-39,18
24-02-03-22-03-39,18
24-02-03-22-03-39,18
24-02-03-22-03-40,20
24-02-03-22-03-40,19
24-02-03-22-03-40,18
24-02-03-22-03-40,18
24-02-03-22-03-40,18
24-02-03-22-03-40,19
24-02-03-22-03-40,18
24-02-03-22-03-41,18
24-02-03-22-03-41,18
24-02-03-22-03-41,18
24-02-03-22-03-41,18
24-02-03-22-03-41,19
24-02-03-22-03-41,18
24-02-03-22-03-41,18
24-02-03-22-03-42,18
24-02-03-22-03-42,19
24-02-03-22-03-42,18
24-02-03-22-03-42,18
24-02-03-22-03-42,19
24-02-03-22-03-42,18
24-02-03-22-03-43,19
24-02-03-22-03-43,19
24-02-03-22-03-43,18
24-02-03-22-03-43,18
24-02-03-22-03-43,18
24-02-03-22-03-43,18
24-02-03-22-03-44,19
24-02-03-22-03-44,18
24-02-03-22-03-44,18
24-02-03-22-03-44,19
24-02-03-22-03-44,19
24-02-03-22-03-44,18
24-02-03-22-03-45,18
24-02-03-22-03-45,19
24-02-03-22-03-45,18
24-02-03-22-03-45,20
24-02-03-22-03-45,18
24-02-03-22-03-45,18
24-02-03-22-03-46,18
24-02-03-22-03-46,19
24-02-03-22-03-46,18
24-02-03-22-03-46,18
24-02-03-22-03-46,18
24-02-03-22-03-46,18
24-02-03-22-03-47,18
24-02-03-22-03-47,18
24-02-03-22-03-47,18
24-02-03-22-03-47,18
24-02-03-22-03-47,19
24-02-03-22-03-47,19
24-02-03-22-03-48,18
24-02-03-22-03-48,19
24-02-03-22-03-48,18
24-02-03-22-03-48,18
24-02-03-22-03-48,20
24-02-03-22-03-48,18
24-02-03-22-03-49,20
24-02-03-22-03-49,19
24-02-03-22-03-49,18
24-02-03-22-03-49,19
24-02-03-22-03-49,20
24-02-03-22-03-49,18
24-02-03-22-03-50,18
24-02-03-22-03-50,20
24-02-03-22-03-50,18
24-02-03-22-03-50,19
24-02-03-22-03-50,18
24-02-03-22-03-50,18
24-02-03-22-03-51,19
24-02-03-22-03-51,18
24-02-03-22-03-51,19
24-02-03-22-03-51,18
24-02-03-22-03-51,20
24-02-03-22-03-51,20
24-02-03-22-03-52,18
24-02-03-22-03-52,20
24-02-03-22-03-52,18
24-02-03-22-03-52,19
24-02-03-22-03-52,18
24-02-03-22-03-52,20
